"ID","Day","Quantity"
"116207","36","500"
"117086","36","2000"
"117301","36","1500"
"117489","36","4000"
"2","37","5757"
"4","37","8273"
"14","37","9808"
"18","37","7396"
"33","37","6672"
"47","37","6233"
"544","37","426"
"572","37","965"
"600","37","4789"
"743","37","3668"
"863","37","6704"
"1061","37","6820"
"1389","37","5491"
"18211","37","5065"
"22022","37","33504"
"23043","37","5487"
"24089","37","5296"
"28171","37","6023"
"57357","37","26722"
"60691","37","5245"
"69486","37","21680"
"95660","37","22933"
"95841","37","13464"
"96011","37","13704"
"100761","37","14597"
"101016","37","31143"
"102904","37","9938"
"103294","37","28890"
"104994","37","14806"
"105225","37","28352"
"107284","37","11400"
"107909","37","14795"
"108613","37","23405"
"109056","37","5000"
"110488","37","16000"
"110670","37","16500"
"111823","37","10000"
"112003","37","21000"
"112121","37","16000"
"113376","37","11500"
"113740","37","15000"
"116207","37","500"
"117086","37","2000"
"117301","37","1500"
"117489","37","4000"
"2","38","5757"
"4","38","8273"
"14","38","9808"
"18","38","7396"
"33","38","6672"
"47","38","6233"
"544","38","426"
"572","38","965"
"600","38","4789"
"743","38","3668"
"863","38","6704"
"1061","38","6820"
"1389","38","5491"
"18211","38","5065"
"22022","38","33504"
"23043","38","5487"
"24089","38","5296"
"28171","38","6023"
"57357","38","26722"
"60691","38","5245"
"69486","38","21680"
"95660","38","22933"
"95841","38","13464"
"96011","38","13704"
"100761","38","14597"
"101016","38","31143"
"102904","38","9938"
"103294","38","28890"
"104994","38","14806"
"105225","38","28352"
"107284","38","11400"
"107909","38","14795"
"108613","38","23405"
"109056","38","5000"
"110488","38","16000"
"110670","38","16500"
"111823","38","10000"
"112003","38","21000"
"112121","38","16000"
"113376","38","11500"
"113740","38","15000"
"116207","38","500"
"117086","38","2000"
"117301","38","1500"
"117489","38","4000"
"117606","38","3500"
"2","39","5757"
"4","39","8273"
"14","39","9808"
"18","39","7396"
"33","39","6672"
"47","39","6233"
"544","39","426"
"572","39","965"
"600","39","4789"
"743","39","3668"
"863","39","6704"
"1061","39","6820"
"1389","39","5491"
"18211","39","5065"
"22022","39","33504"
"23043","39","5487"
"24089","39","5296"
"28171","39","6023"
"57357","39","26722"
"60691","39","5245"
"69486","39","21680"
"95660","39","22933"
"95841","39","13464"
"96011","39","13704"
"100761","39","14597"
